planet;position;mass
neptune;POINTZ(15.438395881099366 -25.88355405738068 -25.88355405738068);0.0020336868699246304
sun;POINTZ(-2.264815291420464e-05 -0.00023007137263990834 -0.00023007137263990834);39.47841760435743
jupiter;POINTZ(4.879526544873475 -0.9624913045406138 -0.9624913045406138);0.03769367487038949
saturn;POINTZ(8.271472452143614 4.2520234227706215 4.2520234227706215);0.011286326131968767
uranus;POINTZ(12.969982644250656 -15.05012832957262 -15.05012832957262);0.0017237240570597112
neptune;POINTZ(15.44817121575306 -25.877580870801776 -25.877580870801776);0.0020336868699246304
sun;POINTZ(-2.523978312054735e-05 -0.0002630419159538893 -0.0002630419159538893);39.47841760435743
jupiter;POINTZ(4.884344704332405 -0.9340993716022034 -0.9340993716022034);0.03769367487038949
saturn;POINTZ(8.261039423875445 4.270115607639496 4.270115607639496);0.011286326131968767
uranus;POINTZ(12.980758411519494 -15.041380354933445 -15.041380354933445);0.0017237240570597112
neptune;POINTZ(15.457944319981346 -25.87160394512889 -25.87160394512889);0.0020336868699246304
sun;POINTZ(-2.7669839037352958e-05 -0.00029603561034886503 -0.00029603561034886503);39.47841760435743
jupiter;POINTZ(4.889006182642898 -0.9056774561785941 -0.9056774561785941);0.03769367487038949
saturn;POINTZ(8.25056590447571 4.288186806368411 4.288186806368411);0.011286326131968767
uranus;POINTZ(12.991527638310119 -15.032624796750236 -15.032624796750236);0.0017237240570597112
neptune;POINTZ(15.467715192345391 -25.865623281182785 -25.865623281182785);0.0020336868699246304
sun;POINTZ(-2.9938127654057315e-05 -0.00032905156803609545 -0.00032905156803609545);39.47841760435743
jupiter;POINTZ(4.893510766448788 -0.8772264591766916 -0.8772264591766916);0.03769367487038949
saturn;POINTZ(8.240051932398007 4.306236923276668 4.306236923276668);0.011286326131968767
uranus;POINTZ(13.002290319605509 -15.023861659924451 -15.023861659924451);0.0017237240570597112
neptune;POINTZ(15.477483831406628 -25.859638879784782 -25.859638879784782);0.0020336868699246304
sun;POINTZ(-3.204446136003851e-05 -0.0003620888995272135 -0.0003620888995272135);39.47841760435743
jupiter;POINTZ(4.897858247978044 -0.8487472832982894 -0.8487472832982894);0.03769367487038949
saturn;POINTZ(8.229497546334109 4.32426586273349 4.32426586273349);0.011286326131968767
uranus;POINTZ(13.013046450392114 -15.015090949360427 -15.015090949360427);0.0017237240570597112
neptune;POINTZ(15.487250235726748 -25.853650741756756 -25.853650741756756);0.0020336868699246304
sun;POINTZ(-3.3988657961855586e-05 -0.00039514671367152745 -0.00039514671367152745);39.47841760435743
jupiter;POINTZ(4.902048425060817 -0.8202408330012005 -0.8202408330012005);0.03769367487038949
saturn;POINTZ(8.218902785213976 4.342273529158688 4.342273529158688);0.011286326131968767
uranus;POINTZ(13.023796025659866 -15.006312669965377 -15.006312669965377);0.0017237240570597112
neptune;POINTZ(15.497014403867704 -25.847658867921137 -25.847658867921137);0.0020336868699246304
sun;POINTZ(-3.577054070018594e-05 -0.0004282241176935252 -0.0004282241176935252);39.47841760435743
jupiter;POINTZ(4.906081101147185 -0.7917080144601786 -0.7917080144601786);0.03769367487038949
saturn;POINTZ(8.208267688205764 4.360259827023335 4.360259827023335);0.011286326131968767
uranus;POINTZ(13.034539040402176 -14.99752682664938 -14.99752682664938);0.0017237240570597112
neptune;POINTZ(15.506776334391713 -25.841663259100912 -25.841663259100912);0.0020336868699246304
sun;POINTZ(-3.738993826645866e-05 -0.00046132021723057753 -0.00046132021723057753);39.47841760435743
jupiter;POINTZ(4.909956085324562 -0.7631497355276301 -0.7631497355276301);0.03769367487038949
saturn;POINTZ(8.197592294715838 4.378224660850433 4.378224660850433);0.011286326131968767
uranus;POINTZ(13.045275489615934 -14.988733424325387 -14.988733424325387);0.0017237240570597112
neptune;POINTZ(15.51653602586125 -25.835663916119618 -25.835663916119618);0.0020336868699246304
sun;POINTZ(-3.8846684819181276e-05 -0.0004944341163708372 -0.0004944341163708372);39.47841760435743
jupiter;POINTZ(4.913673192334802 -0.7345669056941225 -0.7345669056941225);0.03769367487038949
saturn;POINTZ(8.186876644388766 4.396167935215587 4.396167935215587);0.011286326131968767
uranus;POINTZ(13.056005368301506 -14.979932467909201 -14.979932467909201);0.0017237240570597112
neptune;POINTZ(15.526293476839054 -25.82966083980135 -25.82966083980135);0.0020336868699246304
sun;POINTZ(-4.0140619999957135e-05 -0.0005275649176913319 -0.0005275649176913319);39.47841760435743
jupiter;POINTZ(4.917232242590972 -0.7059604360486902 -0.7059604360486902);0.03769367487038949
saturn;POINTZ(8.17612077710733 4.414089554747677 4.414089554747677);0.011286326131968767
uranus;POINTZ(13.066728671462743 -14.971123962319487 -14.971123962319487);0.0017237240570597112
neptune;POINTZ(15.53604868588813 -25.823654030970754 -25.823654030970754);0.0020336868699246304
sun;POINTZ(-4.127158894919095e-05 -0.0005607117222962464 -0.0005607117222962464);39.47841760435743
jupiter;POINTZ(4.920633062193803 -0.6773312392389411 -0.6773312392389411);0.03769367487038949
saturn;POINTZ(8.165324732992524 4.431989424129536 4.431989424129536);0.011286326131968767
uranus;POINTZ(13.077445394106974 -14.962307912477756 -14.962307912477756);0.0017237240570597112
neptune;POINTZ(15.54580165157174 -25.81764349045303 -25.81764349045303);0.0020336868699246304
sun;POINTZ(-4.223944232147987e-05 -0.0005938736298553934 -0.0005938736298553934);39.47841760435743
jupiter;POINTZ(4.9238754829478095 -0.6486802294309685 -0.6486802294309685);0.03769367487038949
saturn;POINTZ(8.154488552403544 4.449867448098626 4.449867448098626);0.011286326131968767
uranus;POINTZ(13.088155531245013 -14.953484323308368 -14.953484323308368);0.0017237240570597112
neptune;POINTZ(15.55555237245341 -25.811629219073925 -25.811629219073925);0.0020336868699246304
sun;POINTZ(-4.304403630068763e-05 -0.0006270497386428666 -0.0006270497386428666);39.47841760435743
jupiter;POINTZ(4.926959342377079 -0.6200083222690697 -0.6200083222690697);0.03769367487038949
saturn;POINTZ(8.143612275937796 4.467723531447715 4.467723531447715);0.011286326131968767
uranus;POINTZ(13.09885907789115 -14.944653199738521 -14.944653199738521);0.0017237240570597112
neptune;POINTZ(15.565300847096934 -25.805611217659745 -25.805611217659745);0.0020336868699246304
sun;POINTZ(-4.368523261469921e-05 -0.0006602391455758765 -0.0006602391455758765);39.47841760435743
jupiter;POINTZ(4.929884483740725 -0.5913164348352757 -0.5913164348352757);0.03769367487038949
saturn;POINTZ(8.13269594443088 4.4855575790255555 4.4855575790255555);0.011286326131968767
uranus;POINTZ(13.109556029063166 -14.935814546698252 -14.935814546698252);0.0017237240570597112
neptune;POINTZ(15.575047074066362 -25.799589487037345 -25.799589487037345);0.0020336868699246304
sun;POINTZ(-4.4162898549853604e-05 -0.0006934409462537635 -0.0006934409462537635);39.47841760435743
jupiter;POINTZ(4.9326507560480115 -0.5626054856086955 -0.5626054856086955);0.03769367487038949
saturn;POINTZ(8.121739598956585 4.503369495737569 4.503369495737569);0.011286326131968767
uranus;POINTZ(13.120246379782316 -14.926968369120425 -14.926968369120425);0.0017237240570597112
neptune;POINTZ(15.584791051926013 -25.79356402803413 -25.79356402803413);0.0020336868699246304
sun;POINTZ(-4.4476906965052254e-05 -0.0007266542349971857 -0.0007266542349971857);39.47841760435743
jupiter;POINTZ(4.935258014073126 -0.5338763944246764 -0.5338763944246764);0.03769367487038949
saturn;POINTZ(8.110743280826874 4.521159186546527 4.521159186546527);0.011286326131968767
uranus;POINTZ(13.130930125073347 -14.918114671940737 -14.918114671940737);0.0017237240570597112
neptune;POINTZ(15.594532779240467 -25.787534841478056 -25.787534841478056);0.0020336868699246304
sun;POINTZ(-4.462713630554078e-05 -0.0007598781048874787 -0.0007598781048874787);39.47841760435743
jupiter;POINTZ(4.937706118369622 -0.5051300824337864 -0.5051300824337864);0.03769367487038949
saturn;POINTZ(8.09970703159187 4.538926556473228 4.538926556473228);0.011286326131968767
uranus;POINTZ(13.141607259964486 -14.9092534600977 -14.9092534600977);0.0017237240570597112
neptune;POINTZ(15.604272254574571 -25.78150192819763 -25.78150192819763);0.0020336868699246304
sun;POINTZ(-4.461347061636164e-05 -0.0007931116478061826 -0.0007931116478061826);39.47841760435743
jupiter;POINTZ(4.939994935284513 -0.47636747206062025 -0.47636747206062025);0.03769367487038949
saturn;POINTZ(8.088630893039847 4.556671510597196 4.556671510597196);0.011286326131968767
uranus;POINTZ(13.152277779487447 -14.900384738532646 -14.900384738532646);0.0017237240570597112
neptune;POINTZ(15.614009476493434 -25.77546528902191 -25.77546528902191);0.0020336868699246304
sun;POINTZ(-4.44357995554754e-05 -0.0008263539544747363 -0.0008263539544747363);39.47841760435743
jupiter;POINTZ(4.942124336972021 -0.44758948696243245 -0.44758948696243245);0.03769367487038949
saturn;POINTZ(8.077514907197202 4.574393954057356 4.574393954057356);0.011286326131968767
uranus;POINTZ(13.16294167867743 -14.89150851218972 -14.89150851218972);0.0017237240570597112
neptune;POINTZ(15.623744443562432 -25.7694249247805 -25.7694249247805);0.0020336868699246304
sun;POINTZ(-4.4094018406548416e-05 -0.000859604114494331 -0.000859604114494331);39.47841760435743
jupiter;POINTZ(4.944094201406973 -0.4187970519876021 -0.4187970519876021);0.03769367487038949
saturn;POINTZ(8.066359116328437 4.592093792052728 4.592093792052728);0.011286326131968767
uranus;POINTZ(13.173598952573125 -14.882624786015874 -14.882624786015874);0.0017237240570597112
neptune;POINTZ(15.6334771543472 -25.76338083630355 -25.76338083630355);0.0020336868699246304
sun;POINTZ(-4.3588028091404545e-05 -0.0008928612163859246 -0.0008928612163859246);39.47841760435743
jupiter;POINTZ(4.945904412397852 -0.3899910931339318 -0.3899910931339318);0.03769367487038949
saturn;POINTZ(8.055163562936142 4.609770929843111 4.609770929843111);0.011286326131968767
uranus;POINTZ(13.184249596216704 -14.873733564960864 -14.873733564960864);0.0017237240570597112
neptune;POINTZ(15.643207607413649 -25.75733302442177 -25.75733302442177);0.0020336868699246304
sun;POINTZ(-4.291773518213886e-05 -0.0009261243476304088 -0.0009261243476304088);39.47841760435743
jupiter;POINTZ(4.947554859599494 -0.3611725375067847 -0.3611725375067847);0.03769367487038949
saturn;POINTZ(8.043928289760961 4.627425272749783 4.627425272749783);0.011286326131968767
uranus;POINTZ(13.194893604653831 -14.864834853977241 -14.864834853977241);0.0017237240570597112
neptune;POINTZ(15.652935801327946 -25.751281489966402 -25.751281489966402);0.0020336868699246304
sun;POINTZ(-4.20830519128911e-05 -0.0009593925947089298 -0.0009593925947089298);39.47841760435743
jupiter;POINTZ(4.9490454385254194 -0.3323423132770629 -0.3323423132770629);0.03769367487038949
saturn;POINTZ(8.032653339781566 4.645056726156187 4.645056726156187);0.011286326131968767
uranus;POINTZ(13.205530972933662 -14.855928658020355 -14.855928658020355);0.0017237240570597112
neptune;POINTZ(15.662661734656528 -25.745226233769248 -25.745226233769248);0.0020336868699246304
sun;POINTZ(-4.1083896191276727e-05 -0.0009926650431433565 -0.0009926650431433565);39.47841760435743
jupiter;POINTZ(4.950376050559822 -0.30350134963903136 -0.30350134963903136);0.03769367487038949
saturn;POINTZ(8.021338756214634 4.662665195508627 4.662665195508627);0.011286326131968767
uranus;POINTZ(13.216161696108838 -14.847014982048343 -14.847014982048343);0.0017237240570597112
neptune;POINTZ(15.672385405966095 -25.739167256662654 -25.739167256662654);0.0020336868699246304
sun;POINTZ(-3.992019160947364e-05 -0.001025940777536893 -0.001025940777536893);39.47841760435743
jupiter;POINTZ(4.951546602969188 -0.27465057676799076 -0.27465057676799076);0.03769367487038949
saturn;POINTZ(8.009984582514804 4.680250586316964 4.680250586316964);0.011286326131968767
uranus;POINTZ(13.226785769235496 -14.838093831022125 -14.838093831022125);0.0017237240570597112
neptune;POINTZ(15.682106813823617 -25.73310455947951 -25.73310455947951);0.0020336868699246304
sun;POINTZ(-3.859186745496234e-05 -0.0010592188816148334 -0.0010592188816148334);39.47841760435743
jupiter;POINTZ(4.952557008913552 -0.24579092577780243 -0.24579092577780243);0.03769367487038949
saturn;POINTZ(7.998590862374648 4.697812804155313 4.697812804155313);0.011286326131968767
uranus;POINTZ(13.237403187373262 -14.829165209905401 -14.829165209905401);0.0017237240570597112
neptune;POINTZ(15.691825956796333 -25.727038143053253 -25.727038143053253);0.0020336868699246304
sun;POINTZ(-3.7098858720917687e-05 -0.0010924984382654533 -0.0010924984382654533);39.47841760435743
jupiter;POINTZ(4.953407187457397 -0.2169233286782698 -0.2169233286782698);0.03769367487038949
saturn;POINTZ(7.987157639724636 4.715351754662744 4.715351754662744);0.011286326131968767
uranus;POINTZ(13.248013945585257 -14.820229123664651 -14.820229123664651);0.0017237240570597112
neptune;POINTZ(15.70154283345174 -25.72096800821787 -25.72096800821787);0.0020336868699246304
sun;POINTZ(-3.544110611625023e-05 -0.0011257785295810357 -0.0011257785295810357);39.47841760435743
jupiter;POINTZ(4.954097063580177 -0.1880487183323798 -0.1880487183323798);0.03769367487038949
saturn;POINTZ(7.975684958733092 4.73286734354398 4.73286734354398);0.011286326131968767
uranus;POINTZ(13.258618038938094 -14.811285577269123 -14.811285577269123);0.0017237240570597112
neptune;POINTZ(15.71125744235761 -25.714894155807887 -25.714894155807887);0.0020336868699246304
sun;POINTZ(-3.361855607529521e-05 -0.0011590582368990285 -0.0011590582368990285);39.47841760435743
jupiter;POINTZ(4.954626568186483 -0.159168028413408 -0.159168028413408);0.03769367487038949
saturn;POINTZ(7.964172863806155 4.7503594765700985 4.7503594765700985);0.011286326131968767
uranus;POINTZ(13.269215462501885 -14.80233457569083 -14.80233457569083);0.0017237240570597112
neptune;POINTZ(15.720969782081982 -25.70881658665838 -25.70881658665838);0.0020336868699246304
sun;POINTZ(-3.163116076714739e-05 -0.001192336640843327 -0.001192336640843327);39.47841760435743
jupiter;POINTZ(4.95499563811583 -0.13028219336189117 -0.13028219336189117);0.03769367487038949
saturn;POINTZ(7.952621399587734 4.767828059579239 4.767828059579239);0.011286326131968767
uranus;POINTZ(13.279806211350232 -14.793376123904551 -14.793376123904551);0.0017237240570597112
neptune;POINTZ(15.730679851193159 -25.702735301604967 -25.702735301604967);0.0020336868699246304
sun;POINTZ(-2.9478878104639892e-05 -0.0012256128213656815 -0.0012256128213656815);39.47841760435743
jupiter;POINTZ(4.955204216152073 -0.10139214834247144 -0.10139214834247144);0.03769367487038949
